ranking,SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking,pontuacao_unidade
11.0,77698,GABINETE DA VICE-PRESIDÊNCIA,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.115818,-34.879988,1,486,117.8395061728395,4.425074326272304,2,1,0,11.0,-6635107.082317868
12.0,30656,GABINETE DA DESEMBARGADORA LIANA FERRAZ DE CARVALHO,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,0.0,-5.045,-42.4706,1,568,312.66901408450707,40.68516343057933,1,1,0,12.0,-6442035.7189598
13.0,30659,GABINETE DO DESEMBARGADOR MARCO AURELIO LUSTOSA CAMINHA,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,0.0,-5.045,-42.4706,1,598,373.01337792642136,43.738526479289554,1,1,0,13.0,-6403170.023668342
14.0,71253,GABINETE DO DESEMBARGADORA ANA MAIRA MADRUGA,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,454,88.4647577092511,5.7156944502624425,1,1,0,14.0,-6325724.12831909
15.0,70701,GABINETE DO DESEMBARGADOR PAULO MAIA,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,470,134.00212765957446,7.675216675473047,1,1,0,15.0,-6325424.643958694
16.0,70703,GABINETE DO DESEMBARGADOR EDUARDO SÉRGIO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,455,96.08351648351649,7.318687804893536,1,1,0,16.0,-6297698.650436651
17.0,20797,GABINETE DA PRESIDÊNCIA (RECURSO DE REVISTA),13220.0,GRA2T,959.0,campo grande,MS,5002704.0,Gabinete de Desembargador do Trabalho,T,0.0,-20.44,-54.56,1,416,-13.081730769230768,-0.20972921033431646,2,1,0,17.0,-6132749.552234222
18.0,70699,GABINETE DO DESEMBARGADOR EDVALDO DE ANDRADE,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,434,84.25115207373274,4.520753502365262,1,1,0,18.0,-6070527.334410349
19.0,70700,GABINETE DO DESEMBARGADOR THIAGO ANDRADE,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,433,88.23787528868358,5.246787762840317,1,1,0,19.0,-6036133.5147718815
20.0,70702,GABINETE DO DESEMBARGADOR UBIRATAN DELGADO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,431,103.16241299303944,6.566126671261401,1,1,0,20.0,-5938241.502180577
21.0,22299,GABINETE DO DESEMBARGADOR ERIDSON JOÃO FERNANDES MEDEIROS,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,508,292.2755905511811,27.522220967089854,1,1,0,21.0,-5931996.635194671
22.0,47176,Gabinete da Vice Presidência,13200.0,GRA2T,3897.0,porto alegre,RS,4314902.0,Gabinete de Desembargador do Trabalho,T,,-30.0255,-51.1338,1,421,92.61520190023752,3.7372684824189375,2,1,0,22.0,-5856774.619566397
23.0,30658,GABINETE DO DESEMBARGADOR ARNALDO BOSON PAES,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,553,384.19891500904157,47.21959509282353,2,1,0,23.0,-5840213.603997676
24.0,30663,GABINETE DO DESEMBARGADOR WELLINGTON JIM BOAVISTA,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,531,360.8662900188324,45.98301049360117,1,1,0,24.0,-5738331.604976033
25.0,30661,GABINETE DO DESEMBARGADOR GIORGI ALAN MACHADO ARAÚJO,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,536,398.18656716417917,52.299595570576436,2,1,0,25.0,-5558472.0525669325
26.0,18593,SECRETARIA DE RECURSO DE REVISTA,13216.0,GRA2T,291.0,aracaju,SE,2800308.0,Gabinete de Desembargador do Trabalho,T,,-10.913031,-37.096198,1,378,35.97354497354497,2.97866738315734,2,1,0,26.0,-5475541.307666808
27.0,22302,GABINETE DO DESEMBARGADOR JOSÉ RÊGO JÚNIOR,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,392,171.7040816326531,14.717256593914465,1,1,0,27.0,-5100263.208085867
28.0,20839,1ª TURMA,13220.0,GRA2T,959.0,campo grande,MS,5002704.0,Gabinete de Desembargador do Trabalho,T,1.0,-20.44,-54.56,1,343,-10.822157434402332,1.312884677680596,1,1,0,28.0,-5060522.0170335295
29.0,30662,GABINETE DO DESEMBARGADOR MANOEL EDILSON CARDOSO,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,417,265.6810551558753,24.88470489926949,2,1,0,29.0,-4991258.105144893
30.0,22298,GABINETE DO DESEMBARGADOR CARLOS NEWTON DE SOUZA PINTO,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,390,218.32307692307685,37.376886100213795,1,1,0,30.0,-4804054.400491911
31.0,20840,2ª TURMA,13220.0,GRA2T,959.0,campo grande,MS,5002704.0,Gabinete de Desembargador do Trabalho,T,2.0,-20.44,-54.56,1,324,-5.271604938271605,-0.13179012345679014,1,1,0,31.0,-4802007.533790939
32.0,30660,GABINETE DO DESEMBARGADOR FRANCISCO METON MARQUES DE LIMA,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,507,482.7317554240631,59.37484350318661,2,1,0,32.0,-4793213.762320697
33.0,20291,SECRETARIA DA 1ª TURMA,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,316,8.613924050632912,0.9554080959064216,1,1,0,33.0,-4670273.053602808
34.0,22301,GABINETE DO DESEMBARGADOR JOSÉ BARBOSA FILHO,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,322,87.00621118012423,4.986928735781794,2,1,0,34.0,-4493546.025610455
35.0,22300,GABINETE DA DESEMBARGADORA JOSEANE DANTAS DOS SANTOS,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,354,207.98022598870057,34.35222286718945,2,1,0,35.0,-4407916.6296100905
36.0,22306,GABINETE DO DESEMBARGADOR RONALDO MEDEIROS DE SOUZA,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,307,55.79804560260586,2.633183008513937,1,1,0,36.0,-4387250.581919033
37.0,22305,GABINETE DO DESEMBARGADOR RICARDO LUÍS ESPÍNDOLA BORGES,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,307,73.54071661237785,3.599469175725825,2,1,0,37.0,-4329814.083385693
38.0,72818,TRIBUNAL,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,3483,-230.0433534309504,-2.3553871140104627,0,1,1,38.0,-3974118.3212402747
39.0,22303,GABINETE DA DESEMBARGADORA MARIA AUXILIADORA BARROS DE MEDEIROS RODRIGUES,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,258,53.36821705426358,4.479686027295354,2,1,0,39.0,-3688497.2213487118
40.0,74247,VICE PRESIDÊNCIA JUDICIAL,13198.0,GRA2T,4795.0,sao paulo,SP,3550308.0,Gabinete de Desembargador do Trabalho,T,,-23.548829,-46.653261,1,252,40.96825396825397,1.4296574520836438,1,1,0,40.0,-3641650.2815660825
41.0,30407,GABINETE DA DESEMBARGADORA DO TRABALHO MARIA CESARINEIDE DE SOUZA LIMA,13210.0,GRA2T,3927.0,porto velho,RO,1100205.0,Gabinete de Desembargador do Trabalho,T,,-8.767326,-63.904235,1,219,-4.465753424657534,-0.14885844748858448,1,1,0,41.0,-3247502.1570994304
42.0,22304,GABINETE DA DESEMBARGADORA MARIA DO PERPÉTUO SOCORRO WANDERLEY DE CASTRO,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,281,309.711743772242,50.6016425943053,3,1,0,42.0,-3167396.068598704
43.0,50364,Gabinete da Presidência,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.7374628,-38.4948679,1,224,86.22767857142857,4.642904008227906,1,1,0,43.0,-3128434.546249167
44.0,30410,GABINETE DO DESEMBARGADOR DO TRABALHO FRANCISCO JOSÉ PINHEIRO CRUZ,13210.0,GRA2T,3927.0,porto velho,RO,1100205.0,Gabinete de Desembargador do Trabalho,T,,-8.767326,-63.904235,1,196,0.0,0.0,1,1,0,44.0,-2915476.284109862
45.0,50354,Gab. Des. Francisco Tarcísio Guedes Lima Verde Junior,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,192,25.52604166666667,3.0959396436667115,1,1,0,45.0,-2801020.8846914885
46.0,50352,Gab. Des. Durval Cesar de Vasconcelos Maia,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,192,27.10416666666667,5.4155164622716825,1,1,0,46.0,-2793537.2971997666
47.0,27676,GABINETE DA DESEMBARGADORA ELAINE MACHADO VASCONCELOS,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,186,0.0,0.0,1,1,0,47.0,-2766723.295853528
47.0,30411,GABINETE DO DESEMBARGADOR DO TRABALHO ILSON ALVES PEQUENO JUNIOR,13210.0,GRA2T,3927.0,porto velho,RO,1100205.0,Gabinete de Desembargador do Trabalho,T,,-8.767326,-63.904235,1,186,0.0,0.0,1,1,0,47.0,-2766723.295853528
49.0,27673,GABINETE DA DESEMBARGADORA FLÁVIA SIMÕES FALCÃO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,185,0.2864864864864865,0.008681408681408681,1,1,0,49.0,-2751301.9364218344
50.0,20296,SECRETARIA DA 6ª TURMA,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,184,9.53804347826087,2.5570339746570565,1,1,0,50.0,-2714717.7556888927
51.0,29311,"GAB, DA DESEMB, ROSA NAIR DA SILVA NOGUEIRA REIS",13214.0,GRA2T,1903.0,goiania,GO,5208707.0,Gabinete de Desembargador do Trabalho,T,,-16.699153364937,-49.27290682597,1,184,63.625,5.232709112171778,1,1,0,51.0,-2610274.5134358653
52.0,50360,Gab. Des. Fernanda Maria Uchoa de Albuquerque,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,180,38.388888888888886,4.23978478242038,1,1,0,52.0,-2600739.8902913714
53.0,27677,GABINETE DO DESEMBARGADOR ANDRÉ RODRIGUES PEREIRA DA VEIGA DAMASCENO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,172,0.0,0.0,2,1,0,53.0,-2558469.1122946604
54.0,20055,GABINETE - DESEMBARGADORA DO TRABALHO MARIZETE MENEZES,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,181,85.79558011049724,0.002882986663404761,1,1,0,54.0,-2537051.5835195007
55.0,20061,GABINETE - DESEMBARGADOR DO TRABALHO EDILTON MEIRELES,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,176,49.51136363636363,-0.015767733898968073,1,1,0,55.0,-2530802.5563855316
56.0,20066,GABINETE - DESEMBARGADOR DO TRABALHO NORBERTO FRERICHS,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,174,-35.27586206896552,-0.8170229711380311,1,1,0,56.0,-2525418.089976147
57.0,27683,GABINETE DO DESEMBARGADOR JOSÉ RIBAMAR OLIVEIRA LIMA JÚNIOR,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,169,0.0,0.0,1,1,0,57.0,-2513843.21581776
58.0,20048,GABINETE - DESEMBARGADORA DO TRABALHO GRAÇA BONESS,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,169,27.869822485207106,0.04025740435538274,1,1,0,58.0,-2466675.1808044
59.0,81201,Gab. Juiz Convocado Antônio Teófilo Filho,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.7374628,-38.4948679,1,171,42.69590643274854,3.906024604609409,2,1,0,59.0,-2463904.5113951447
60.0,29313,"GAB, DO DESEMB, ELVECIO MOURA DOS SANTOS",13214.0,GRA2T,1903.0,goiania,GO,5208707.0,Gabinete de Desembargador do Trabalho,T,,-16.699153364937,-49.27290682597,1,172,59.24418604651163,6.283647351625688,1,1,0,60.0,-2445761.2388498643
61.0,30409,GABINETE DA DESEMBARGADORA DO TRABALHO VANIA MARIA DA ROCHA ABENSUR,13210.0,GRA2T,3927.0,porto velho,RO,1100205.0,Gabinete de Desembargador do Trabalho,T,,-8.767326,-63.904235,1,167,26.646706586826358,0.8219525523462125,1,1,0,61.0,-2438219.957404075
62.0,20063,GABINETE - DESEMBARGADOR DO TRABALHO HUMBERTO JORGE LIMA MACHADO,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,167,-41.48502994011976,-0.8774531456130229,1,1,0,62.0,-2413347.2714133197
63.0,27627,GABINETE - DESEMBARGADORA DO TRABALHO SUZANA INÁCIO,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,165,24.963636363636365,0.2918177687515953,1,1,0,63.0,-2412670.5211967863
64.0,29317,"GAB, DA DESEMB, IARA TEIXEIRA RIOS",13214.0,GRA2T,1903.0,goiania,GO,5208707.0,Gabinete de Desembargador do Trabalho,T,,-16.699153364937,-49.27290682597,1,170,65.5,5.225058212482393,2,1,0,64.0,-2408485.915682174
65.0,27672,GABINETE DO DESEMBARGADOR JOÃO AMÍLCAR SILVA E SOUZA PAVAN,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,161,0.0,0.0,1,1,0,65.0,-2394840.825212693
66.0,27678,GABINETE DO DESEMBARGADOR PEDRO LUÍS VICENTIN FOLTRAN,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,161,-0.031055900621118005,-0.00282326369282891,1,1,0,66.0,-2394786.2797581474
67.0,50355,Gab. Des. Francisco José Gomes da Silva,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,170,73.98235294117647,5.836440071653133,1,1,0,67.0,-2393026.5665215836
68.0,20065,GABINETE - DESEMBARGADOR DO TRABALHO MARCOS OLIVEIRA  GURGEL,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,167,59.70059880239521,0.6295177725824066,1,1,0,68.0,-2383341.3234862806
69.0,50361,Gab. Des. Maria José Girão,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,167,61.95209580838323,9.342230262175473,1,1,0,69.0,-2365031.0936286603
70.0,79527,GABINETE DO DESEMBARGADOR JOÃO LUIS ROCHA SAMPAIO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,0.0,-15.7994838,-47.8793175,1,158,0.0,0.0,1,1,0,70.0,-2350214.9287357926
71.0,20056,GABINETE - DESEMBARGADORA DO TRABALHO NELIA  NEVES,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,161,27.69565217391305,0.3638086847280536,1,1,0,71.0,-2349665.093230281
72.0,27685,GABINETE DO DESEMBARGADOR DORIVAL BORGES DE SOUZA NETO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,157,-0.08917197452229299,-0.008106543138390272,1,1,0,72.0,-2335186.9026374323
73.0,20062,GABINETE - DESEMBARGADOR DO TRABALHO ESEQUIAS OLIVEIRA,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,161,43.21739130434783,0.6563655708548667,1,1,0,73.0,-2324204.0766436164
74.0,20051,GABINETE - DESEMBARGADORA DO TRABALHO LOURDES LINHARES,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,159,27.88050314465409,0.2602913306368111,1,1,0,74.0,-2320346.364345714
75.0,20058,GABINETE - DESEMBARGADORA DO TRABALHO YARA TRINDADE,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,161,48.57142857142857,-0.7055801733487834,1,1,0,75.0,-2315504.8411336015
76.0,27684,GABINETE DO DESEMBARGADOR JOSÉ LEONE CORDEIRO LEITE,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,155,0.0,0.0,2,1,0,76.0,-2305589.0322588924
77.0,50356,Gab. Des. Jefferson Quesado Júnior,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,163,73.29447852760737,5.27256537670857,1,1,0,77.0,-2296527.141299925
78.0,20047,GABINETE - DESEMBARGADORA DO TRABALHO DEBORA MACHADO,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,161,62.54037267080746,0.8817492185566367,1,1,0,78.0,-2292731.208970817
79.0,27679,GABINETE DA DESEMBARGADORA MARIA REGINA MACHADO GUIMARÃES,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,154,0.0,0.0,1,1,0,79.0,-2290713.733433259
80.0,27674,GABINETE DO DESEMBARGADOR MÁRIO MACEDO FERNANDES CARON,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,152,0.0,0.0,2,1,0,80.0,-2260963.135781992
81.0,27688,GABINETE DO DESEMBARGADOR GRIJALBO FERNANDES COUTINHO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,151,0.0,0.0,2,1,0,81.0,-2246087.8369563585
82.0,20072,GABINETE - DESEMBARGADOR LUIZ ROBERTO PEIXOTO DE MATTOS SANTOS,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,0.0,-12.971403,-38.5004884,1,156,48.89743589743589,0.9077429511154216,1,1,0,82.0,-2242768.252080786
83.0,27686,GABINETE DA DESEMBARGADORA ELKE DORIS JUST,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,148,0.0,0.0,1,1,0,83.0,-2201461.9404794583
84.0,20045,GABINETE - DESEMBARGADORA DO TRABALHO ANA LUCIA BEZERRA,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,150,23.786666666666665,-0.25366526716928256,1,1,0,84.0,-2195152.0402299715
85.0,20070,GABINETE - DESEMBARGADOR DO TRABALHO TADEU VIEIRA,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,149,18.791946308724828,-0.2377386532978356,1,1,0,85.0,-2187983.008711678
86.0,27687,GABINETE DA DESEMBARGADORA CILENE FERREIRA AMARO SANTOS,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,147,0.0,0.0,2,1,0,86.0,-2186586.641653825
87.0,29314,"GAB, DO DESEMB, EUGÊNIO JOSÉ CESÁRIO ROSA",13214.0,GRA2T,1903.0,goiania,GO,5208707.0,Gabinete de Desembargador do Trabalho,T,,-16.699153364937,-49.27290682597,1,153,64.76470588235293,3.4959127227970628,2,1,0,87.0,-2171399.6881417464
88.0,20073,GABINETE - DESEMBARGADOR PIRES RIBEIRO,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,0.0,-12.971403,-38.5004884,1,150,47.82,-0.18859538612849674,1,1,0,88.0,-2159199.645051533
89.0,79960,Gab. Des. Paulo Régis Machado Botelho,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.738963,-38.4932895,1,151,67.96026490066225,4.2833030464796495,1,1,0,89.0,-2137000.0493561747
90.0,29321,"GAB, DO DESEMB, PLATON TEIXEIRA DE AZEVEDO FILHO",13214.0,GRA2T,1903.0,goiania,GO,5208707.0,Gabinete de Desembargador do Trabalho,T,0.0,-16.699153364937,-49.27290682597,1,153,80.1111111111111,21.94115475657386,2,1,0,90.0,-2119698.467830068
91.0,27675,GABINETE DO DESEMBARGADOR RICARDO ALENCAR MACHADO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,142,0.0,0.0,2,1,0,91.0,-2112210.147525658
92.0,20053,GABINETE - DESEMBARGADORA DO TRABALHO MARGARETH RODRIGUES COSTA,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,145,-36.282758620689656,-0.6336427962002991,1,1,0,92.0,-2103307.2619480677
93.0,81217,GABINETE -  DESEMBARGADORA ANA PAOLA M.DINIZ,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,0.0,-12.971403,-38.5004884,1,154,-128.1103896103896,-1.4997743270287824,1,1,0,93.0,-2091114.080969635
94.0,20071,GABINETE - DESEMBARGADOR DO TRABALHO VALTERCIO OLIVEIRA,13201.0,GRA2T,4278.0,salvador,BA,2927408.0,Gabinete de Desembargador do Trabalho,T,,-12.971403,-38.5004884,1,144,40.59027777777778,0.2960412383001267,1,1,0,94.0,-2083084.445793773
