ranking,SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking,pontuacao_unidade
22.0,72976,Gabinete da Vice-Presidência,13204.0,GRA2T,572.0,belem,PA,1501402.0,Gabinete de Desembargador do Trabalho,T,0.0,-1.4383166666667,-48.486861111111,1,775,95.8941935483871,4.07016447528515,1,1,0,22.0,-10753550.529468145
23.0,20763,PRESIDÊNCIA,13202.0,GRA2T,4059.0,recife,PE,2611606.0,Gabinete de Desembargador do Trabalho,T,,-8.0558555555556,-34.873275,1,777,111.2007722007722,3.61745155233244,2,1,0,23.0,-10665887.303241251
24.0,20562,Vara do Trabalho de Xinguara,13204.0,GRA1T,5503.0,xinguara,PA,1508407.0,Varas Trabalhistas,T,0.0,-7.0853027777778,-49.934197222222,0,1030,497.61844660194174,13.384895840541013,1,1,0,24.0,-10058141.077530554
25.0,18590,GABINETE DO DESEMBARGADOR THENISSON SANTANA DÓRIA,13216.0,GRA2T,291.0,aracaju,SE,2800308.0,Gabinete de Desembargador do Trabalho,T,,-10.913031,-37.096198,1,804,369.55472636815915,7.092164311665036,1,1,0,25.0,-8931416.96902919
26.0,79550,Centro Judiciário de Solução de Conflito e Cidadania de Natal,13217.0,UNITE,3201.0,natal,RN,2408102.0,Outras Unidades,T,0.0,-5.8271737,-35.2170276,1,591,113.25042301184428,4.372732616062832,1,1,0,26.0,-8096066.470474129
27.0,18575,9ª VARA DO TRABALHO DE ARACAJU,13216.0,GRA1T,291.0,aracaju,SE,2800308.0,Varas Trabalhistas,T,9.0,-10.913031,-37.096198,1,603,291.47595356550585,5.958681524607482,1,1,0,27.0,-7176192.056549277
28.0,71328,SEÇÃO ESPECIALIZADA,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,477,9.39203354297694,1.094450932161842,1,1,0,28.0,-7045414.723166439
29.0,27663,PRESIDÊNCIA DO TRT 10A. REGIÃO,13206.0,GRA2T,743.0,brasilia,DF,5300108.0,Gabinete de Desembargador do Trabalho,T,,-15.7994838,-47.8793175,1,461,0.0,0.0,1,1,0,29.0,-6857430.472902716
30.0,81814,CEJUSC-JT 1  GRAU,13220.0,UNITE,959.0,campo grande,MS,5002704.0,Outras Unidades,T,0.0,,,1,458,0.3471615720524017,0.006408849930073922,2,1,0,30.0,-6811185.223893137
31.0,22310,GABINETE DA PRESIDÊNCIA,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,487,99.1129363449692,3.2941291928083536,2,1,0,31.0,-6745465.833200208
32.0,70697,GABINETE DO DESEMBARGADOR ASSIS CARVALHO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,486,108.95679012345678,7.481940785247173,1,1,0,32.0,-6663420.71132725
33.0,70698,GABINETE DO DESEMBARGADOR CARLOS COELHO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,468,63.15811965811966,6.431218319191838,1,1,0,33.0,-6635879.462948333
34.0,77698,GABINETE DA VICE-PRESIDÊNCIA,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.115818,-34.879988,1,486,117.8395061728395,4.425074326272304,2,1,0,34.0,-6635107.082317868
35.0,30656,GABINETE DA DESEMBARGADORA LIANA FERRAZ DE CARVALHO,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,0.0,-5.045,-42.4706,1,568,312.66901408450707,40.68516343057933,1,1,0,35.0,-6442035.7189598
36.0,30659,GABINETE DO DESEMBARGADOR MARCO AURELIO LUSTOSA CAMINHA,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,0.0,-5.045,-42.4706,1,598,373.01337792642136,43.738526479289554,1,1,0,36.0,-6403170.023668342
37.0,18574,8ª VARA DO TRABALHO DE ARACAJU,13216.0,GRA1T,291.0,aracaju,SE,2800308.0,Varas Trabalhistas,T,8.0,-10.913031,-37.096198,1,490,182.49183673469392,7.261335837626513,1,1,0,37.0,-6359023.593241716
38.0,71253,GABINETE DO DESEMBARGADORA ANA MAIRA MADRUGA,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,454,88.4647577092511,5.7156944502624425,1,1,0,38.0,-6325724.12831909
39.0,70701,GABINETE DO DESEMBARGADOR PAULO MAIA,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,470,134.00212765957446,7.675216675473047,1,1,0,39.0,-6325424.643958694
40.0,70703,GABINETE DO DESEMBARGADOR EDUARDO SÉRGIO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,455,96.08351648351649,7.318687804893536,1,1,0,40.0,-6297698.650436651
41.0,20797,GABINETE DA PRESIDÊNCIA (RECURSO DE REVISTA),13220.0,GRA2T,959.0,campo grande,MS,5002704.0,Gabinete de Desembargador do Trabalho,T,0.0,-20.44,-54.56,1,416,-13.081730769230768,-0.20972921033431646,2,1,0,41.0,-6132749.552234222
42.0,70699,GABINETE DO DESEMBARGADOR EDVALDO DE ANDRADE,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,434,84.25115207373274,4.520753502365262,1,1,0,42.0,-6070527.334410349
43.0,70700,GABINETE DO DESEMBARGADOR THIAGO ANDRADE,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,433,88.23787528868358,5.246787762840317,1,1,0,43.0,-6036133.5147718815
44.0,50331,33ª Vara do Trabalho da Região do Cariri,13203.0,GRA1T,2593.0,juazeiro do norte,CE,2307304.0,Varas Trabalhistas,T,3.0,-7.2296037,-39.3429772,0,445,141.52134831460674,8.668567697921558,1,1,0,44.0,-5951080.565436832
45.0,70702,GABINETE DO DESEMBARGADOR UBIRATAN DELGADO,13209.0,GRA2T,2565.0,joao pessoa,PB,2507507.0,Gabinete de Desembargador do Trabalho,T,,-7.11985,-34.873071,1,431,103.16241299303944,6.566126671261401,1,1,0,45.0,-5938241.502180577
46.0,22299,GABINETE DO DESEMBARGADOR ERIDSON JOÃO FERNANDES MEDEIROS,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,508,292.2755905511811,27.522220967089854,1,1,0,46.0,-5931996.635194671
47.0,47176,Gabinete da Vice Presidência,13200.0,GRA2T,3897.0,porto alegre,RS,4314902.0,Gabinete de Desembargador do Trabalho,T,,-30.0255,-51.1338,1,421,92.61520190023752,3.7372684824189375,2,1,0,47.0,-5856774.619566397
48.0,30658,GABINETE DO DESEMBARGADOR ARNALDO BOSON PAES,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,553,384.19891500904157,47.21959509282353,2,1,0,48.0,-5840213.603997676
49.0,78382,GABINETE DO DESEMBARGADOR UBIRAJARA CARLOS MENDES,13221.0,GABIM,,,,,Gabinete de Ministro,S,,-15.81,-47.46,1,415,-96.2409638554217,-3.699172660164321,0,1,0,49.0,-5758415.160383897
50.0,30663,GABINETE DO DESEMBARGADOR WELLINGTON JIM BOAVISTA,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,531,360.8662900188324,45.98301049360117,1,1,0,50.0,-5738331.604976033
51.0,30661,GABINETE DO DESEMBARGADOR GIORGI ALAN MACHADO ARAÚJO,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,536,398.18656716417917,52.299595570576436,2,1,0,51.0,-5558472.0525669325
52.0,18593,SECRETARIA DE RECURSO DE REVISTA,13216.0,GRA2T,291.0,aracaju,SE,2800308.0,Gabinete de Desembargador do Trabalho,T,,-10.913031,-37.096198,1,378,35.97354497354497,2.97866738315734,2,1,0,52.0,-5475541.307666808
53.0,29287,GOIÂNIA  - 14A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,455,291.7010989010989,9.078425351266242,1,1,0,53.0,-5399631.844600654
54.0,20531,17ª Vara do Trabalho de Belém,13204.0,GRA1T,572.0,belem,PA,1501402.0,Varas Trabalhistas,T,17.0,-1.4383166666667,-48.486861111111,1,447,294.84787472035794,6.112242950528728,1,1,0,54.0,-5303884.563354986
55.0,29289,GOIÂNIA  - 16A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,428,239.69158878504672,11.84777307167574,1,1,0,55.0,-5289957.142910042
56.0,22302,GABINETE DO DESEMBARGADOR JOSÉ RÊGO JÚNIOR,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,392,171.7040816326531,14.717256593914465,1,1,0,56.0,-5100263.208085867
57.0,29288,GOIÂNIA  - 15A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,441,322.75736961451247,8.904449292502315,1,1,0,57.0,-5097295.875010112
58.0,20839,1ª TURMA,13220.0,GRA2T,959.0,campo grande,MS,5002704.0,Gabinete de Desembargador do Trabalho,T,1.0,-20.44,-54.56,1,343,-10.822157434402332,1.312884677680596,1,1,0,58.0,-5060522.0170335295
59.0,20690,IGARASSU  - 02A VARA,13202.0,GRA1T,2124.0,igarassu,PE,2606804.0,Varas Trabalhistas,T,,-7.8776472222222,-34.905841666667,0,370,118.35405405405407,4.692727338929162,1,1,0,59.0,-5048505.188616038
60.0,30662,GABINETE DO DESEMBARGADOR MANOEL EDILSON CARDOSO,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,417,265.6810551558753,24.88470489926949,2,1,0,60.0,-4991258.105144893
61.0,22298,GABINETE DO DESEMBARGADOR CARLOS NEWTON DE SOUZA PINTO,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,390,218.32307692307685,37.376886100213795,1,1,0,61.0,-4804054.400491911
62.0,20840,2ª TURMA,13220.0,GRA2T,959.0,campo grande,MS,5002704.0,Gabinete de Desembargador do Trabalho,T,2.0,-20.44,-54.56,1,324,-5.271604938271605,-0.13179012345679014,1,1,0,62.0,-4802007.533790939
63.0,30660,GABINETE DO DESEMBARGADOR FRANCISCO METON MARQUES DE LIMA,13218.0,GRA2T,5149.0,teresina,PI,2211001.0,Gabinete de Desembargador do Trabalho,T,,-5.045,-42.4706,1,507,482.7317554240631,59.37484350318661,2,1,0,63.0,-4793213.762320697
64.0,29291,GOIÂNIA  - 18A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,404,292.44059405940595,10.56366211740473,1,1,0,64.0,-4785401.244887297
65.0,74451,10ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,10.0,-7.1070083,-34.8442357,1,353,144.43626062322946,2.770447705017457,1,1,0,65.0,-4731258.519335597
66.0,20291,SECRETARIA DA 1ª TURMA,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,316,8.613924050632912,0.9554080959064216,1,1,0,66.0,-4670273.053602808
67.0,22301,GABINETE DO DESEMBARGADOR JOSÉ BARBOSA FILHO,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,322,87.00621118012423,4.986928735781794,2,1,0,67.0,-4493546.025610455
68.0,35093,Única Vara do Trabalho de São Gonçalo do Amarante,13203.0,GRA1T,4612.0,sao goncalo do amarante,CE,2312403.0,Varas Trabalhistas,T,0.0,-3.6077093,-38.9677019,0,325,104.63076923076923,4.771442843921432,1,1,0,68.0,-4478832.643373828
69.0,50341,2ª Vara do Trabalho de Sobral,13203.0,GRA1T,5015.0,sobral,CE,2312908.0,Varas Trabalhistas,T,0.0,-3.691212,-40.3530597,0,357,243.96918767507003,7.3771733287570065,1,1,0,69.0,-4413092.886253179
70.0,22300,GABINETE DA DESEMBARGADORA JOSEANE DANTAS DOS SANTOS,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,354,207.98022598870057,34.35222286718945,2,1,0,70.0,-4407916.6296100905
71.0,22306,GABINETE DO DESEMBARGADOR RONALDO MEDEIROS DE SOUZA,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,307,55.79804560260586,2.633183008513937,1,1,0,71.0,-4387250.581919033
72.0,20533,19ª Vara do Trabalho de Belém,13204.0,GRA1T,572.0,belem,PA,1501402.0,Varas Trabalhistas,T,19.0,-1.4383166666667,-48.486861111111,1,388,352.3865979381444,6.170345500227574,1,1,0,72.0,-4380332.718090594
73.0,50308,Única Vara do Trabalho de Eusébio,13203.0,GRA1T,1709.0,eusebio,CE,2304285.0,Varas Trabalhistas,T,0.0,-3.88965133,-38.44816582,0,370,302.65675675675675,12.6120546073322,1,1,0,73.0,-4337283.677722947
74.0,22305,GABINETE DO DESEMBARGADOR RICARDO LUÍS ESPÍNDOLA BORGES,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,307,73.54071661237785,3.599469175725825,2,1,0,74.0,-4329814.083385693
75.0,30311,VARA DO TRABALHO DE BOM JESUS,13218.0,GRA1T,666.0,bom jesus,PI,2201903.0,Varas Trabalhistas,T,,-9.074336,-44.350414,0,783,839.8301404853128,114.81226434136455,1,1,0,75.0,-4172426.66496379
76.0,77181,11ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,11.0,-7.1070083,-34.8442357,1,303,126.0924092409241,4.919690179472521,1,1,0,76.0,-4110166.5972088357
77.0,80256,13ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,0.0,-7.1070083,-34.8442357,1,296,120.86824324324324,9.683468607629807,1,1,0,77.0,-4016573.0995946187
78.0,72818,TRIBUNAL,13205.0,GRA2T,1488.0,curitiba,PR,4106902.0,Gabinete de Desembargador do Trabalho,T,,-25.4329489,-49.2801211,1,3483,-230.0433534309504,-2.3553871140104627,0,1,1,78.0,-3974118.3212402747
79.0,50336,2ª Vara do Trabalho de Maracanaú,13203.0,GRA1T,2883.0,maracanau,CE,2307650.0,Varas Trabalhistas,T,0.0,-3.8800269,-38.6310896,0,324,296.3981481481481,14.627132297578768,1,1,0,79.0,-3811792.6251467834
80.0,19417,3ª VT DE SÃO JOSÉ,13208.0,GRA1T,4683.0,sao jose,SC,4216602.0,Varas Trabalhistas,T,3.0,-27.5999358,-48.6099772,0,537,728.022346368715,52.35940233700312,3,1,0,80.0,-3797303.193101148
81.0,80255,12ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,0.0,-7.1070083,-34.8442357,1,272,98.29044117647058,4.635686151702082,1,1,0,81.0,-3766039.928525372
82.0,29268,APARECIDA DE GOIÂNIA  - 03A VARA,13214.0,GRA1T,268.0,aparecida de goiania,GO,5201405.0,Varas Trabalhistas,T,,-16.81082663,-49.24187601,0,301,246.7607973421927,8.481366285440457,1,1,0,82.0,-3709103.7482821946
83.0,50326,18ª Vara do Trabalho de Fortaleza,13203.0,GRA1T,1808.0,fortaleza,CE,2304400.0,Varas Trabalhistas,T,0.0,-3.72966117,-38.53390038,1,318,315.6446540880503,7.188161664808859,1,1,0,83.0,-3703654.3867430454
84.0,20550,4ª Vara do Trabalho de Marabá,13204.0,GRA1T,2876.0,maraba,PA,1504208.0,Varas Trabalhistas,T,4.0,-5.3484833333333,-49.099866666667,0,322,333.2639751552795,8.445551197236865,1,1,0,84.0,-3689459.2612845697
85.0,22303,GABINETE DA DESEMBARGADORA MARIA AUXILIADORA BARROS DE MEDEIROS RODRIGUES,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,258,53.36821705426358,4.479686027295354,2,1,0,85.0,-3688497.2213487118
86.0,74247,VICE PRESIDÊNCIA JUDICIAL,13198.0,GRA2T,4795.0,sao paulo,SP,3550308.0,Gabinete de Desembargador do Trabalho,T,,-23.548829,-46.653261,1,252,40.96825396825397,1.4296574520836438,1,1,0,86.0,-3641650.2815660825
87.0,20532,18ª Vara do Trabalho de Belém,13204.0,GRA1T,572.0,belem,PA,1501402.0,Varas Trabalhistas,T,18.0,-1.4383166666667,-48.486861111111,1,335,409.9373134328358,15.251348477078412,1,1,0,87.0,-3558760.8034746936
88.0,50325,17ª Vara do Trabalho de Fortaleza,13203.0,GRA1T,1808.0,fortaleza,CE,2304400.0,Varas Trabalhistas,T,0.0,-3.72966117,-38.53390038,1,316,419.4303797468354,15.98044351809469,1,1,0,88.0,-3324613.941668693
89.0,81810,VARA DO TRABALHO DE RIO BRILHANTE (PROCESSOS MARACAJU),13220.0,GRA1T,959.0,campo grande,MS,5002704.0,Varas Trabalhistas,T,0.0,,,1,222,0.0,0.0,1,1,0,89.0,-3302234.0535763307
90.0,50324,16ª Vara do Trabalho de Fortaleza,13203.0,GRA1T,1808.0,fortaleza,CE,2304400.0,Varas Trabalhistas,T,0.0,-3.72966117,-38.53390038,1,328,462.7134146341464,20.458554171844934,1,1,0,90.0,-3294211.6714098207
91.0,50323,15ª Vara do Trabalho de Fortaleza,13203.0,GRA1T,1808.0,fortaleza,CE,2304400.0,Varas Trabalhistas,T,0.0,-3.72966117,-38.53390038,1,340,502.6764705882353,17.875883878280067,1,1,0,91.0,-3287641.3098149206
92.0,80404,CENTRO JUDICIÁRIO DE MÉTODOS CONSENSUAIS DE SOLUÇÃO DE DISPUTAS - TAGUATINGA,13206.0,UNITE,5614.0,taguatinga,DF,53001080508.0,Outras Unidades,T,0.0,-15.8286739,-48.0624041,0,219,3.863013698630137,0.3030411474931861,1,1,0,92.0,-3248484.496986421
93.0,30407,GABINETE DA DESEMBARGADORA DO TRABALHO MARIA CESARINEIDE DE SOUZA LIMA,13210.0,GRA2T,3927.0,porto velho,RO,1100205.0,Gabinete de Desembargador do Trabalho,T,,-8.767326,-63.904235,1,219,-4.465753424657534,-0.14885844748858448,1,1,0,93.0,-3247502.1570994304
94.0,19489,VT DE TIMBÓ,13208.0,GRA1T,5179.0,timbo,SC,4218202.0,Varas Trabalhistas,T,,-26.819042,-49.276814,0,315,463.2888888888888,17.58700983910837,1,1,0,94.0,-3170877.763367047
95.0,22304,GABINETE DA DESEMBARGADORA MARIA DO PERPÉTUO SOCORRO WANDERLEY DE CASTRO,13217.0,GRA2T,3201.0,natal,RN,2408102.0,Gabinete de Desembargador do Trabalho,T,,-5.8271737,-35.2170276,1,281,309.711743772242,50.6016425943053,3,1,0,95.0,-3167396.068598704
96.0,50364,Gabinete da Presidência,13203.0,GRA2T,1808.0,fortaleza,CE,2304400.0,Gabinete de Desembargador do Trabalho,T,0.0,-3.7374628,-38.4948679,1,224,86.22767857142857,4.642904008227906,1,1,0,96.0,-3128434.546249167
97.0,71252,GABINETE DA MINISTRA ROSA MARIA WEBER CANDIOTA DA ROSA,13221.0,GABIM,,,,,Gabinete de Ministro,S,,,,1,215,-66.35348837209303,-3.0180277539006637,0,1,0,97.0,-3048958.202126011
98.0,20549,3ª Vara do Trabalho de Marabá,13204.0,GRA1T,2876.0,maraba,PA,1504208.0,Varas Trabalhistas,T,3.0,-5.3484833333333,-49.099866666667,0,284,427.3415492957746,10.641738737650149,1,1,0,98.0,-2980630.0427506757
99.0,20698,JABOATÃO DOS GUARARAPES  - 05A VARA,13202.0,GRA1T,2433.0,jaboatao dos guararapes,PE,2607901.0,Varas Trabalhistas,T,,-8.1516638888889,-34.919380555556,0,254,301.8582677165353,15.296979670700386,1,1,0,99.0,-2972669.287633022
100.0,79721,CEJUSCs / Núcleo Permanente de Mediação e Conciliação,13204.0,UNITE,572.0,belem,PA,1501402.0,Outras Unidades,T,0.0,-1.4383166666667,-48.486861111111,1,219,126.01826484018265,4.340583183561376,1,1,0,100.0,-2972122.2799274316
101.0,30410,GABINETE DO DESEMBARGADOR DO TRABALHO FRANCISCO JOSÉ PINHEIRO CRUZ,13210.0,GRA2T,3927.0,porto velho,RO,1100205.0,Gabinete de Desembargador do Trabalho,T,,-8.767326,-63.904235,1,196,0.0,0.0,1,1,0,101.0,-2915476.284109862
102.0,20701,NAZARÉ DA MATA  - 02A VARA,13202.0,GRA1T,3212.0,nazare da mata,PE,2609501.0,Varas Trabalhistas,T,,-7.7407611111111,-35.276530555556,0,210,105.23809523809523,4.956585716980627,1,1,0,102.0,-2892321.637663071
103.0,29294,INHUMAS  - 01A VARA,13214.0,GRA1T,2187.0,inhumas,GO,5210000.0,Varas Trabalhistas,T,,-16.36258746,-49.49399829,0,244,299.172131147541,8.391497270056743,1,1,0,103.0,-2879035.3744013277
