codigo,descricao
3390,Perigo para a vida ou saúde de outrem
3391,Abandono de incapaz
3392,Omissão de socorro
3393,Rixa
3394,Crimes contra a Honra
3395,Calúnia
3396,Difamação
3397,Injúria
3400,Crimes contra a liberdade pessoal
3401,Constrangimento ilegal 
3402,Ameaça 
3403,Seqüestro e cárcere privado 
3404,Redução a condição análoga à de escravo 
3405,Crimes contra a inviolabilidade de domicílio
3406,Violação de domicílio 
3407,Crimes contra a inviolabilidade de correspondência
3408,Violação de correspondência 
3409,Sonegação ou destruição de correspondência 
3410,"Violação de comunicação telegráfica, radioelétrica ou telefônica "
3411,Violação de Correspondência comercial 
3412,Crimes contra a inviolabilidade de segredo
3413,Divulgação de segredo 
3414,Violação do segredo profissional 
3415,Crimes contra o Patrimônio
3416,Furto 
3417,Furto Qualificado 
3418,Furto de coisa comum 
3419,Roubo 
3420,Extorsão 
3421,Extorsão mediante seqüestro 
3422,Extorsão indireta
3423,Alteração de limites 
3424,Usurpação de águas 
3425,Esbulho possessório
3426,Dano
3427,Introdução ou abandono de animais em propriedade alheia
3428,"Dano em coisa de valor artístico, arqueológico ou histórico"
3429,Alteração de local especialmente protegido
3430,Apropriação indébita Previdenciária 
3431,Estelionato
3432,Estelionato Majorado 
3433,Outras fraudes
3434,Fraude à execução 
3435,Receptação
3436,Apropriação indébita
3437,"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza"
3438,Crimes contra a Propriedade Industrial
3442,Crimes contra a Propriedade Intelectual
3443,Violação de direito autoral
3445,Crimes contra a Organização do Trabalho
3446,Atentado contra a liberdade de trabalho
3447,Atentado contra a liberdade de contrato de trabalho e boicotagem violenta
3448,Atentado contra a liberdade de associação
3449,"Paralisação de trabalho, seguida de violência ou perturbação da ordem"
3450,Paralisação de trabalho de interesse coletivo
3451,"Invasão de estabelecimento industrial, comercial ou agrícola. Sabotagem"
3452,Frustração de direitos assegurados por lei trabalhista
3453,Exercício de atividade com infração de decisão administrativa 
3454,Aliciamento para fins de emigração
3455,Aliciamento de trabalhadores de um local para outro do território nacional
3456,Frustração de lei sobre a nacionalização do trabalho 
3457,Crimes contra o sentimento religioso e contra o respeito aos mortos
3458,Destruição / Subração / Ocultação de Cadáver
3459,Impedimento ou Perturbação de Cerimônia Funerária
3460,Vilipêndio a Cadáver
3461,Violação a Sepultura 
3462,Ultraje / Impedimento ou Perturbação de Culto Religioso
3463,Crimes contra a Dignidade Sexual
3465,Estupro 
3466,Atentado Violento ao Pudor 
3467,Atentado ao Pudor Mediante Fraude
3468,Corrupção de Menores
3469,Ultraje Público ao Pudor (Ato/Escrito Obsceno)
3471,Mediação para Servir a Lascívia de Outrem 
3472,Crimes contra a Família
3473,Crimes Contra a Assistência Familiar
3474,Abandono Material
3475,Abandono Intelectual
3476,Entrega de Filho Menor a Pessoa Inidônea
3477,Crimes contra o Casamento
3479,Bigamia
3480,Conhecimento Prévio de Impedimento 
3481,Induzimento a erro essencial e ocultação de impedimento
3482,Simulação de Casamento
3483,Simulação de Autoridade para Celebração de Casamento
3484,Crimes Contra o Estado de Filiação
3485,Parto Suposto 
3486,Registro de Nascimento Inexistente
3487,Sonegação do Estado de Filiação
3488,Crime contra o Pátrio-Poder e Tutela
3489,"Induzimento a Fuga, Entrega Arbitrária ou Sonegação de Incapazes"
3490,Subtração de Incapazes 
3491,Crimes contra a Incolumidade Pública
3492,Incêndio
3493,Explosão 
3494,Uso de gás tóxico ou asfixiante 
3495,Inundação / Perigo de Inundação
3496,Desabamento ou desmoronamento
3497,"Subtração, ocultação ou inutilização de material de salvamento"
3498,Difusão de doença ou praga
3500,Desastre ferroviário / Perigo de Desastre Ferroviário
3501,Atentado contra a segurança de transporte público
3502,Arremesso de projétil
3503,Atentado contra a segurança de serviços de utilidade pública 
3504,Interrupção /perturbação de serviços telegráficos/telefônicos
3505,Epidemia 
3506,Emprego de Processo Proibido/Substância não permitida
3507,Invólucro ou recipiente com falsa indicação 
3508,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais
3509,"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica"
3510,Charlatanismo 
3511,Corrupção ou Poluição de Água Potável
3512,Curandeirismo 
3513,Envenenamento de Água Potável / Substância Alimentícia ou Medicinal
3514,Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios
3515,Infração de Medida Sanitária Preventiva
3516,Omissão de Notificação de Doença
3517,Outras Substâncias Nocivas a Saúde Pública 
3519,Substância Destinada à Falsificação
3520,Crimes contra a Paz Pública
3521,Quadrilha ou Bando
3523,Crimes contra a Fé Pública
3524,Moeda Falsa / Assimilados
3527,Petrechos para falsificação de moeda 
3528,Emissão de título ao portador sem permissão legal 
3529,Falsificação de papéis públicos 
3530,Falsificação do selo ou sinal público 
3531,Falsificação de documento público
3532,Falsificação de documento particular 
3533,Falsidade ideológica 
3534,Falso reconhecimento de firma ou letra
3535,Certidão ou atestado ideologicamente falso 
3536,Falsidade material de atestado ou certidão 
3537,Falsidade de atestado médico 
3538,Reprodução ou adulteração de selo ou peça filatélica 
3539,Uso de documento falso 
3540,Supressão de documento 
3541,"Falsificação do sinal empregado no contraste de metal precioso ou na fiscalização alfandegária, ou para outros fins "
3542,Falsa identidade 
3543,Fraude de lei sobre estrangeiros
3545,Petrechos de Falsificação de Papéis Públicos
3546,Adulteração de Sinal Identificador de Veículo Automotor
3547,Crimes Praticados por Funcionários Públicos Contra a Administração em Geral
3548,Peculato
3550,Peculato mediante erro de outrem
3551,"Extravio, sonegação ou inutilização de livro ou documento "
3552,Emprego irregular de verbas ou rendas públicas 
3553,Concussão 
3554,Excesso de exação 
3555,Corrupção passiva 
3556,Facilitação de contrabando ou descaminho 
3557,Prevaricação
3558,Condescendência criminosa
3559,Advocacia administrativa 
3560,Violência arbitrária 
3561,Abandono de função 
3562,Exercício funcional ilegalmente antecipado ou prolongado 
3563,Violação do sigilo funcional 
3564,Violação do sigilo de proposta de concorrência 
3565,Usurpação de função pública 
3566,Resistência 
3567,Tráfico de influência 
3568,Corrupção ativa 
3569,"Impedimento, perturbação ou fraude de concorrência"
3570,Inutilização de edital ou de sinal 
3571,Subtração ou inutilização de livro ou documento 
3572,Desobediência 
3573,Desacato 
3574,Contrabando ou descaminho 
3575,Reingresso de estrangeiro expulso 
3576,Denunciação caluniosa 
3577,Comunicação falsa de crime ou de contravenção 
3578,Auto-acusação falsa
3579,Falso testemunho ou falsa perícia 
3580,Coação no curso do processo 
3581,Exercício arbitrário das próprias razões 
3582,Fraude processual
3583,Favorecimento pessoal 
3584,Favorecimento real 
3585,Exercício arbitrário ou abuso de poder 
3586,Fuga de pessoa presa ou submetida a medida de segurança 
3587,Evasão mediante violência contra a pessoa 
3588,Arrebatamento de preso 
3589,Motim de presos 
3590,Patrocínio infiel 
3591,Patrocínio simultâneo ou tergiversação 
3592,Sonegação de papel ou objeto de valor probatório 
3593,Exploração de prestígio 
3594,Violência ou fraude em arrematação judicial
3595,Desobediência a decisão judicial sobre perda ou suspensão de direitos 
3596,Inserção de dados falsos em sistema de informações 
3597,Modificação ou alteração não autorizada de sistema de informações 
3598,Sonegação de contribuição previdenciária 
3603,Crimes Previstos na Legislação Extravagante
3604,Crimes de Responsabilidade
3605,Crimes contra a Economia Popular
3606,Crimes de Abuso de Autoridade
3607,Crimes de Tráfico Ilícito e Uso Indevido de Drogas
3608,Tráfico de Drogas e Condutas Afins
3609,Responsabilidade Criminal por Danos Nucleares
3610,Crimes contra o Serviço Postal e o Serviço de Telegrama
3611,"Crimes contra a Segurança Nacional, a Ordem Política e Social"
3612,Crimes contra o Sistema Financeiro Nacional
3613,Crimes Resultante de Preconceito de Raça ou de Cor
3614,Crimes contra a Ordem Tributária
3615,Crimes contra a Ordem Econômica
3616,Crimes contra as Relações de Consumo
3617,Representação caluniosa
3618,Crimes contra o Meio Ambiente e o Patrimônio Genético
3619,Crimes contra a Fauna
3620,Crimes contra a Flora
3621,Da Poluição
3622,Agrotóxicos 
3623,Atividades Nucleares 
3624,Caça 
3626,Liberação ou Descarte de OGM (Organismo Geneticamente Modificado)
3627,Pesca 
3628,"Crimes de &quot;Lavagem&quot; ou Ocultação de Bens, Direitos ou Valores"
3629,Crimes contra as Telecomunicações
3630,Crimes Previstos na Lei de Estrangeiros
3631,Crimes de Tortura
3632,Crimes de Trânsito
3633,Crimes do Sistema Nacional de Armas
3634,Crimes de Imprensa
3637,Crimes Previstos no Estatuto da criança e do adolescente
3638,Crimes contra o mercado de capitais
3640,Crimes de genocídio
3641,Sigilo Telefônico
3642,Crimes da Lei de licitações
3643,Crimes da Lei de remoção de órgãos e tecidos
3647,Crimes praticados contra os índios e a cultura indígena
3650,"Recusa, retardamento ou omissão de dados técnicos indispensáveis à propositura de Ação Civil Pública"
3651,Crimes Agrários
3653,Crimes relacionados à Comissão Parlamentar de Inquérito
3654,Crimes Eleitorais
3655,Crime de Quebra de Sigilo Financeiro
3656,Crimes do Código Brasileiro de Telecomunicações
3659,Crimes Previstos no Estatuto do Idoso
3660,Parcelamento do solo urbano
3661,Crimes Falimentares
3664,Crimes Militares
3692,Contravenções Penais
4263,Ação Penal
4264,Nulidade
4271,Suspensão
4272,Trancamento
4291,Jurisdição e Competência
4305,Recurso
4310,Fiança
4355,Prisão Preventiva
4368,Denúncia/Queixa
4370,Recebimento
4371,Rejeição
4435,Aplicabilidade
4437,Revisão
4438,Anulação
4442,Restituição / Indenização de Despesa
4452,Representação Sindical
4654,Propriedade Intelectual / Industrial
4656,Direito Autoral
4660,Patente
4670,Desenho Industrial
4680,Marca
4701,Ato / Negócio Jurídico
4703,"Defeito, nulidade ou anulação"
4706,Evicção ou Vicio Redibitório
4718,Cessão de Crédito
4728,Câmbio
4794,Parceria Agrícola e/ou pecuária
4805,Previdência privada
4813,Representação comercial
4829,Atraso de vôo
4830,Cancelamento de vôo
4831,Overbooking
4832,Extravio de bagagem
4839,Sistema Financeiro da Habitação
4840,Equivalência salarial
4841,Quitação
4842,Reajuste de Prestações
4843,Transferência de Financiamento (contrato de gaveta)
4846,Sustação/Alteração de Leilão
4847,Seguro
4854,Revisão do Saldo Devedor
4862,Transporte Aéreo
4897,Associação
4899,Assembléia
4902,Eleição
4904,Extinção
4905,Fundação de Direito Privado
4907,Assembléia
4909,Eleição
4910,Extinção
4933,Apuração de haveres
4934,Constituição
4935,Dissolução
4939,Desconsideração da Personalidade Jurídica
4940,Ingresso e Exclusão dos Sócios na Sociedade
4942,Responsabilidade dos sócios e administradores
4943,Transferência de cotas
4949,Títulos de Crédito
4951,Anulação
4957,Requisitos
4960,Cédula de Crédito Bancário
4961,Cédula de Crédito à Exportação
4962,Cédula de Crédito Comercial
4963,Cédula de Crédito Industrial
4964,Cédula de Crédito Rural
4968,Cédula de Produto Rural
4969,Cédula Hipotecária
4970,Cheque
4971,Debêntures
4972,Duplicata
4973,Letra de Câmbio
4974,Nota de Crédito Comercial
4975,Nota de Crédito Industrial
4976,Nota de Crédito Rural
4980,Nota Promissória
4981,Warrant
4993,Recuperação judicial e Falência
4994,Recuperação extrajudicial
4998,Autofalência
5000,Concurso de Credores
5001,Liquidação
5003,Revogação de atos praticados em prejuízo de credores e da massa
5009,Mercado de Capitais
5010,Bolsa de Valores
5193,Engajamento e Profissionais Marítimos
5194,Seguros Marítimos
5196,Aluguel de Embarcações (Fretamento E Carta Partida)
5269,Mínimo
5272,Administração Pública
5273,Suspensão / Interrupção do Contrato de Trabalho 
5274,Contrato de Trabalho Temporário
5276,Advogados
5277,Aeronautas
5278,Artistas
5279,Atleta Profissional
5280,Bancários
5281,Cabineiros de Elevador
5282,Doméstico
5284,"Engenheiro, Arquiteto e Engenheiro Agrônomo"
5286,Jornalistas
5287,Marítimos
5288,Digitadores / Mecanógrafos / Datilógrafos
5289,Médicos
5290,Mineiros de Subsolos
5291,Músicos Profissionais
5292,Operadores de Carga e Descarga (Estiva e Capatazia)
5293,Operadores Cinematográficos
5294,Professores
5295,Químicos
5296,Radialistas
5297,Serviços de Telefonia ou Telegrafia
5299,Trabalhadores em Petróleo
5301,Vigia e Vigilantes
5352,Anotação / Baixa / Retificação
5354,Devolução
5356,Grupo Econômico
5555,Crime Tentado
5556,Grave
5557,Gravíssima
5558,Privilegiada
5560,Decorrente de Violência Doméstica
5564,Furto Privilegiado
5565,Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior
5566,Roubo Majorado
5567,Latrocínio
5568,Extorsão mediante Seqüestro Seguida de Morte
5569,Extorsão mediante Sequestro Seguida de Lesão Corporal Grave
5570,Supressão ou Alteração de Marca em Animais
5571,Dano Qualificado
5572,Apropriação de Tesouro
5573,Apropriação de Coisa Achada
5575,Abandono
5577,Acidentes da Navegação
5585,Registro / Cadastro do Armador
5589,Arresto de Embarcação
5591,Assistência / Salvamento
5592,Avaria
5595,Responsabilidade do Comandante ou Capitão
5603,Inscrição / Registro da Embarcação
5609,Hipoteca Marítima
5612,Créditos / Privilégios Marítimos
5621,Serviços Auxiliares da Navegação
5622,Agenciamento
5623,Corretagem de Embarcação
5624,Praticagem
5626,Família
5632,Prescrição e Decadência
5680,Edição
5724,Sociedade 
5754,Pessoas naturais
5779,Alimentos
5787,Exoneração
5788,Revisão
5801,Busca e Apreensão de Menores
5802,Guarda
5804,Investigação de Paternidade
5805,Regulamentação de Visitas
5808,Casamento
5813,Nulidade / Anulação
5825,Nulidade e Anulação de Testamento
5829,Nulidade e Anulação de Partilha e Adjudicação de Herança
5831,Sub-rogação de Vinculo
5832,Exclusão de herdeiro ou legatário
5833,Petição de Herança
5834,Deserdação
5835,Disposição de coisa alheia como própria
5836,Alienação ou Oneração Fraudulenta de Coisa Própria
5837,Defraudação de Penhor
5838,Fraude na Entrega de Coisa
5839,Fraude para Recebimento de Indenização ou Valor de Seguro
5840,Fraude no Pagamento por Meio de Cheque
5841,Duplicata Simulada
5842,Abuso de Incapazes
5843,Induzimento à Especulação
5844,Fraude no Comércio
5845,Fraudes e Abusos na Fundação ou Administração de Sociedade por Ações
5846,Emissão Irregular de Conhecimento de Depósito ou &quot;Warrant&quot;
5847,Receptação Qualificada
5850,Posse Sexual Mediante Fraude
5851,Assédio Sexual
5852,Favorecimento da Prostituição
5853,Casa de Prostituição
5854,Rufianismo
5855,Tráfico Internacional de Pessoas
5856,Tráfico Interno de Pessoas
5862,Fabrico / Fornecimento / Aquisição / Posse ou Transporte de Explosivos ou Gás Tóxico ou Asfixiante
5865,Crime Culposo
5866,Venda de Produtos ou Substância nas Condições dos Artigos 274 e 275 
5867,Medicamento em Desacordo com Receita Médica
5869,Incitação ao Crime
5870,Apologia de Crime ou Criminoso
5872,Crimes Praticados por Particular Contra a Administração em Geral
5873,Crimes Praticados por Particular Contra a Administração Pública Estrangeira
5874,Crimes Contra a Administração da Justiça
5875,Crimes Contra as Finanças Públicas
5876,Corrupção Ativa em Transação Comercial Internacional
5877,Tráfico de Influência em Transação Comercial Internacional
5878,Crimes contra Patente de Invenção
5879,Crimes contra os Desenhos Industriais
5880,Crimes contra as Marcas
5881,"Crimes Cometidos por Meio de Marca, Título de Estabelecimento e Sinal de Propaganda "
5882,Crimes contra Indicações Geeográficas e Demais Indicações
5883,Crimes de Concorrência Desleal
5885,Posse de Drogas para Consumo Pessoal
5893,Crime Contra a Administração da Justiça - Lei da Ação de Alimentos 
5894,Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins 
5895,"Indução, Instigação ou Auxílio ao Uso de Drogas"
5896,Oferecimento de Drogas para Consumo Conjunto
5897,Associação para a Produção e Tráfico e Condutas Afins
5898,Financiamento ou Custeio de Produção ou Tráfico de Drogas
5899,"Colaboração com Grupo, Organização ou Associação Destinados à Produção ou Tráfico de Drogas "
5900,Prescrição Culposa de Drogas
5901,Condução de Embarcação ou Aeronave sob Efeito de Drogas
5903,Contratação de Operação de Crédito
5904,Inscrição de Despesas Não Empenhadas
5905,Assunção de Obrigação no Último Ano do Mandato ou Legislatura
5906,Ordenação de Despesa Não Autorizada
5907,Prestação de Garantia Graciosa
5908,Não Cancelamento de Restos a Pagar
5909,Aumento de Despesa com Pessoal no Último Ano do Mandato ou Legislatura
5910,Oferta Pública ou Colocação de Títulos no Mercado
5911,Perigo de Contágio Venéreo
5913,Limitações ao Poder de Tributar
5914,Imunidade 
5915,Isenção
5916,Impostos
5917,IRPF/Imposto de Renda de Pessoa Física
5918,Incidência sobre PDV
5919,Incidência sobre Aposentadoria
5920,Incidência sobre Aplicações Financeiras
5921,Incidência sobre Licença-Prêmio/Abono/Indenização
5922,Retido na fonte
5923,Incidência sobre Férias Compensadas
5924,Incidência sobre Proventos de Previdência Privada
5925,Incidência sobre Participação nos Lucros
5926,Incidência sobre Lucro Imobiliário
5927,"Incidência sobre 1/3 de férias (art. 7º, XVII da CF)"
5928,Incidência sobre 13° Salário
5929,Incidência sobre Função Comissionada
5930,Incidência sobre Hora Extra
5931,Incidência decorrente de Desligamento de Plano de Previdência Privada
5932,Incidência decorrente de Liquidação de Entidade de Previdência Privada
5933,IRPJ/Imposto de Renda de Pessoa Jurídica
5934,Microempresa
5935,Demonstrações Financeiras (DCTF)
5936,Incidência sobre Aplicações Financeiras
5937,Retido na fonte
5938,Incidência sobre Lucro
5939,Cooperativa
5940,Compensação de Prejuízos
5941,II/ Imposto sobre Importação
5942,Importação de bens usados
5943,Drawback
5944,IE/ Imposto sobre Exportação
5945,IPI/ Imposto sobre Produtos Industrializados
5946,ICMS/ Imposto sobre Circulação de Mercadorias
5947,ICMS/Importação
5948,"IOC/IOF Imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários"
5949,Incidência sobre Ações de Companhias Abertas
5950,ITR/ Imposto Territorial Rural
5951,ISS/ Imposto sobre Serviços
5952,IPTU/ Imposto Predial e Territorial Urbano
5953,IPVA - Imposto Sobre Propriedade de Veículos Automotores
5954,ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis
5955,ITCD - Imposto de Transmissão Causa Mortis
5956,Taxas
5957,Federais
5958,Taxa Anual por Hectare
5959,Taxa de Armazenamento
5960,Taxa de Despacho Aduaneiro
5961,Taxa de Exploração Mineral
5962,Taxa de Fiscalização Ambiental
5963,Taxa de Guia de Importação
5964,Taxa de Licença de Importação
5965,Taxa de Melhoramento de Portos
5966,Taxa de Permanência
5967,Taxa de Saúde Suplementar
5968,Taxa de Fiscalização da Comissão de Valores Mobiliários
5969,Taxa Judiciária
5970,Taxa de Aferição de Equipamentos de Metrologia
5971,Estaduais
5972,Municipais
5973,Empréstimos Compulsórios
5974,Aquisição de veículos automotores
5975,Aquisição de combustíveis
5976,Aquisição de passagens e moedas - Viagem Exterior
5977,Energia Elétrica
5978,Obrigação Tributária
5979,Responsabilidade tributária
5980,Responsabilidade Tributária do Sócio-Gerente / Diretor / Representante
5981,Substituição Tributária
5982,DIMOB/Declaração de Informações sobre Atividades Imobilíárias
5983,CNPJ/Cadastro Nacional de Pessoas Jurídicas
5984,CPF/Cadastro de Pessoas Físicas
5985,Obrigação Acessória
5986,Crédito Tributário
5987,Suspensão da Exigibilidade
5988,Carta de fiança
5989,Parcelamento
5990,Extinção do Crédito Tributário
5991,Compensação com Apólices da Dívida Pública
5992,Prescrição
5993,Decadência
5994,Compensação
5995,TDA/Títulos da Dívida Agrária
5996,Anistia
5997,Denúncia espontânea
5998,Lançamento
5999,CND/Certidão Negativa de Débito
6000,Expedição de CND
6001,Expedição de Certidão Positiva de Débito com Efeito de Negativa
6002,Certificado de Regularidade - FGTS
6003,Incentivos fiscais
6004,Anulação de Débito Fiscal
6005,Juros/Correção Monetária
6006,Prazo de Recolhimento
6007,Repetição de indébito
6008,Base de Cálculo
6009,Crédito Prêmio
6010,Crédito Presumido
6011,Fato Gerador/Incidência
6012,Alíquota
6013,Alíquota Zero
6014,Alíquota Progressiva
6015,Índice da Alíquota
6016,Creditamento
6017,Dívida Ativa
6018,Processo Administrativo Fiscal
6019,Depósito Prévio ao Recurso Administrativo
6020,Arrolamento de Bens
6021,Procedimentos Fiscais
6022,Sigilo Fiscal
6023,Utilização de Dados Relativos à CPMF para Fins de Fiscalização
6024,Liberação de mercadorias
6025,Levantamento de depósito
6026,Cadastro de Inadimplentes - CADIN
6027,Autorização para Impressão de Documentos Fiscais - AIDF
6028,Liberação de Veículo Apreendido
6029,Perdimento de Bens
6030,GATT - &quot;Acordo Geral sobre Tarifas e Comércio&quot;
6031,Contribuições
6032,Contribuições de Melhoria
6033,Contribuições Sociais
6034,Finsocial
6035,Cofins
6036,Contribuição Social sobre o Lucro Líquido
6037,Salário-Educação
6038,Seguro Acidentes do Trabalho
6039,PIS
6040,Funrural
6041,Contribuição INCRA
6042,PASEP
6043,Construção Civil
6044,Contribuições Corporativas
6045,"Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros"
6046,Conselhos Regionais e Afins (Anuidade)
6047,Contribuição Sindical
6048,Contribuições Previdenciárias
6049,Servidores Ativos
6050,Servidores Inativos
6051,Mandato Eletivo/Lei 9.506/97
6052,Aposentadoria/Retorno aoTrabalho
6053,Cargo em Comissão
6054,Tempo de Serviço Urbano/Contribuições não Recolhidas
6055,Tempo de Serviço Rural/Contribuições não Recolhidas
6056,Gratificação Natalina/13º Salário
6057,Produção Agropecuária
6058,Indenização Trabalhista
6059,Reembolso auxílio-creche
6060,Contribuição sobre a folha de salários
6061,Devolução de contribuições previdenciárias pagas além do teto
6062,1/3 de férias
6063,Auxílio-Alimentação
6064,Custeio de Assistência Médica
6065,Hora Extra
6066,Massa Falida- Recolhimento
6067,Nota Fiscal ou Fatura
6068,Salário-Maternidade
6069,Contribuição sobre Nota Fiscal de Execução de Serviços
6070,"Contribuição de Autônomos, Empresários (Pró-labore) e Facultativos"
6071,Contribuições Especiais
6072,FNT/Fundo Nacional de Telecomunicações
6073,ATP/Adicional de Tarifa Portuária
6074,AITP/Adicional de Indenização do Trabalhador Portuário Avulso
6075,Adicional de Tarifa Aeroportuária
6076,AFRMM/Adicional ao Frete para Renovação da Marinha Mercante 
6077,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério
6078,Seguro Apagão (Lei 10.438/02)
6079,Contribuição sobre licença de uso ou transferência de tecnologia
6080,Contribuição de Intervenção no Domínio Econômico (CIDE)
6081,FUNDAF/Fundo Especial de Desenvolvimento e Aperfeiçoamento das Atividades de Fiscalização 
6082,FUSEX/FUNSA/FUSMA/Fundo de Saúde das Forças Armadas
6083,Contribuição de Iluminação Pública
6084,IUEE/Imposto Único sobre Energia Elétrica
6085,FGTS/Fundo de Garantia Por Tempo de Serviço
6086,Contribuição sobre Açúcar e Álcool
6087,CPMF/Contribuição Provisória sobre Movimentação Financeira
6088,Discriminação Tributária MERCOSUL
6089,Regimes Especiais de Tributação
6090,REFIS/Programa de Recuperação Fiscal
6091,PAES/Parcelamento Especial
6092,SIMPLES
6093,Super SIMPLES
6094,Benefícios em Espécie
6095,Aposentadoria por Invalidez
6096,Aposentadoria por Idade (Art. 48/51)
6097,Urbana (Art. 48/51)
6098,Rural (Art. 48/51)
6099,Aposentadoria por Tempo de Serviço (Art. 52/4)
6100,Aposentadoria Especial (Art. 57/8)
6101,Auxílio-Doença Previdenciário
6102,Salário-Família (Art. 65/70)
6103,Salário-Maternidade (Art. 71/73)
6104,Pensão por Morte (Art. 74/9)
6105,Auxílio-Reclusão (Art. 80)
6106,Pecúlios (Art. 81/5)
6107,Auxílio-Acidente (Art. 86)
6108,Incapacidade Laborativa Parcial
6109,Incapacidade Laborativa Permanente
6110,Incapacidade Laborativa Temporária
6111,Movimentos Repetitivos/Tenossinovite/LER/DORT
